X,Y,OBJECTID,ID,NAME,ADDRESS,TELEPHONE,WEB_URL,GIS_ID,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE,ZIPCODE,CREATOR,CREATED,EDITOR,EDITED
-77.0383852405217,38.9847958653935,1,29,Lowell School,1640 KALMIA ROAD NW,202-577-2000,https://www.lowellschool.org,IndSchPt_39,302442,396672.58,146320.89,38.98481235,-77.0384048,20012,,,,
-77.0751378330378,38.9679082407907,2,14,Blessed Sacrament School,5841 CHEVY CHASE PARKWAY NW,202-966-6682,https://www.bsstoday.org,IndSchPt_31,274472,393460.12,144442.79,38.96787595,-77.07546481,20015,,,,
-77.0094371774408,38.966211209929,3,40,Roots Activity Learning Center,6222 NORTH CAPITOL STREET NW,202-882-5155,https://www.rootsactivitylc.org/,IndSchPt_21,277484,399182.01,144257.74,38.96623295,-77.00943871,20011,,,,
-77.0274226274707,38.9643824117658,4,15,Bridges Academy,6119 GEORGIA AVENUE NW,202-829-1901,https://www.bridgesacademydc.org/,IndSchPt_1,295158,397619.12,144051.91,38.96437593,-77.02747204,20011,,,,
-77.035945511955,38.9640732451322,5,4,Milton Gottesman Jewish Day School North Campus,6045 16TH STREET NW,202-291-5737,https://www.jpds.org/,IndSchPt_47,256159,396883.1,144017.12,38.96406023,-77.03596452,20011,,,,
-77.0549716464002,38.9624798548136,6,46,St. John's College High School,2607 MILITARY ROAD NW,202-363-2316,https://www.stjohns-chs.org,IndSchPt_25,259840,395215.5,143835.6,38.96241755,-77.05520495,20015,,,,
-77.0340910999425,38.9509917479926,7,27,Kingsbury Day School,5000 14TH STREET NW,202-722-5555,https://www.kingsbury.org/ ,IndSchPt_4,255780,397047.31,142564.4,38.95097432,-77.03406352,20008,,,,
-77.036769946801,38.9499933956314,8,38,Parkmont School,4842 16TH STREET NW,202-726-0740,https://www.parkmont.org,IndSchPt_7,258748,396811.4,142452.94,38.94996943,-77.03678456,20011,,,,
-77.0824491243484,38.9482254606359,9,39,St. Columbia's Epicopal Church Nursery School,4201 ALBEMARLE STREET NW,202-363-4119,https://www.columba.org/learn-grow/nursery-school,IndSchPt_54,301545,392853.08,142261.1,38.948218,-77.082447,20016,,,,
-77.0360284534696,38.9480556214859,10,8,Milton Gottesman Jewish Day School South Campus,4715 16TH STREET NW,202-291-5737,https://www.jpds.org/,IndSchPt_48,255699,396875.21,142239.02,38.94804261,-77.03604746,20011,,,,
-77.0705223964044,38.9467739221614,11,49,Sheridan School,4400 36TH STREET NW,202-362-7900,https://www.sheridanschool.org,IndSchPt_8,221854,393887.11,142101.06,38.94678412,-77.07051683,20008,,,,
-76.9847811113892,38.945775413077,12,6,St. Anselm's Abbey School,4501 SOUTH DAKOTA AVENUE NE,202-269-2350,https://www.saintanselms.org/ ,IndSchPt_14,288238,401339.81,142177.91,38.94749665,-76.98454412,20017,,,,
-77.0809797521502,38.9417794268545,13,32,National Presbyterian School,4121 NEBRASKA AVENUE NW,202-537-7500,https://www.nps-dc.org,IndSchPt_41,301072,392930.02,141515.57,38.94150268,-77.08155155,20016,,,,
-77.0637866316054,38.941244900672,14,26,Fusion Academy,3007 TILDEN STREET NW,202-244-0639,https://www.fusionacademy.com/fusion-campus-location/washington-dc/welcome,IndSchPt_51,294550,394470.3,141484.9,38.94123744,-77.06378433,20008,,,,
-77.0065182157447,38.940867200203,15,1,Archbishop Carroll High,4300 HAREWOOD ROAD NE,202-529-0900,https://www.archbishopcarroll.org/,IndSchPt_29,290010,399454.23,141441.84,38.94086644,-77.00629535,20017,,,,
-77.0739877170796,38.9393723067851,16,50,Sidwell Friends School,3825 WISCONSIN AVENUE NW,202-537-8100,https://www.sidwell.edu,IndSchPt_9,293241,393586.23,141276.61,38.9393551,-77.07398,20016,,,,
-77.0640558577346,38.9359070214555,17,10,National Child Research Center,3209 HIGHLAND PLACE NW,202-363-8777,https://www.ncrcpreschool.org/,IndSchPt_50,221029,394446.66,140891.95,38.93589582,-77.06405221,20008 ,,,,
-77.0611242264557,38.9324776160559,18,52,Washington International School Tregaron Campus,3100 MACOMB STREET NW,202-243-1800,https://www.wis.edu,IndSchPt_10,300693,394645.2,140530.02,38.93263668,-77.06175943,20008,,,,
-77.03766909807,38.9323150203462,19,41,Sacred Heart School,1625 PARK ROAD NW,202-265-4828,https://sacredheartschooldc.org ,IndSchPt_24,284056,396737.06,140499.52,38.93237219,-77.03763288,20010,,,,
-77.072139653643,38.9314316508659,20,31,National Cathedral School,3612 WOODLEY ROAD NW,202-537-6300,https://www.ncs.cathedral.org,IndSchPt_40,308567,393745.33,140396.02,38.93142363,-77.07213683,20016,,,,
