X,Y,NAME,ADDRESS,STATUS,SSL,WARD,ZIPCODE,GIS_ID,AID,OBJECTID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,GLOBALID
-77.0848466231216,38.9601328618261,CHEVY CHASE PAVILION,5335 WISCONSIN AVENUE NW,ACTIVE,1661    0813,Ward 3,20015,temp_28,303179,1,392646.480499998,143583.120000001,,,,,,{A0B55549-4775-4F46-8F28-614F79226697}
-77.0856195170639,38.9594245191854,MAZZA GALLERIE,5300 WISCONSIN AVENUE NW,ACTIVE,1660    0812,Ward 3,20015,temp_27,265944,2,392579.419500001,143504.550000001,,,,,,{1C96C91B-646F-48A5-BA96-4EAE67FDD5C9}
-77.0958501628506,38.9460308846579,SPRING VALLEY SHOPPING CENTER,4851 MASSACHUSETTS AVE NW,ACTIVE,1499    0803,Ward 3,20016,temp_15,294298,3,391691.152500004,142018.616999999,,,,,,{133188E6-B376-464F-B9E6-1CDB80A890C0}
-77.0581182680196,38.9360060181139,PARK AND SHOP,3509 CONNECTICUT AVE NW,ACTIVE,2222    0015,Ward 3,20008,temp_31,284706,4,394961.340500005,140903.010000002,,,,,,{4CB8EEE4-F33D-4C86-8574-45FBE4D2C779}
-77.0043947213734,38.9297305072218,TRINITY SQUARE SHOPPING CENTER,200 MICHIGAN AVE NE,ACTIVE,3499    0003,Ward 5,20017,temp_17,303869,5,399619.141500004,140204.778999999,,,,,,{48FB77A1-08AF-4DAD-993F-1BD4664CCB91}
-77.0329860146798,38.9293082279734,DC USA,3100 14TH STREET NW,ACTIVE,2674    0721,Ward 1,20010,temp_2,3063040,6,397140.039999999,140158.41,,,,,,{422D0552-22E3-4CE9-88EC-56B4C6E87E10}
-76.9921983201128,38.9203290677201,RHODE ISLAND PLAZA,680 RHODE ISLAND AVE NE,ACTIVE,3848    0820,Ward 5,20018,temp_14,303872,7,400676.752499998,139161.159000002,,,,,,{D9FC9AEE-E1C3-43FA-B45A-6DE6A7C96D3F}
-76.9976527811192,38.9087240536726,UNION MARKET,1309 5TH STREET NE,ACTIVE,,Ward 5,20002,temp_34,,8,400203.80,137872.89,,,,,,{99EDA09F-99E5-437F-9D1E-B2DB93DF94D0}
-77.0637426809072,38.9050034450937,SHOPS AT GEORGETOWN PARK,3222 M STREET NW,ACTIVE,1200    0868,Ward 2,20007,temp_9,300197,9,394471.300499998,137461.789999999,,,,,,{0BFE7D65-1BEC-4472-9E27-8062C6AD3A9A}
-77.0665977675223,38.9048646912371,CADY'S ALLEY,3318 M STREET NW,ACTIVE,1184    0057,Ward 2,20007,temp_19,303861,10,394223.645499997,137446.563999999,,,,,,{F7D8FBB9-049A-4FFA-9DC6-D2C841460B11}
-77.0397372669847,38.9040399131064,CONNECTICUT CONNECTION,1101 CONNECTICUT AVE NW,ACTIVE,0162    0096,Ward 2,20036,temp_6,241795,11,396553.429499999,137353.649999999,,,,,,{9FA4651E-6616-4EA8-8DD5-EEBA8F2AA2C8}
-77.0183128973127,38.9027871112304,CITY VISTA,475 K STREET NW,ACTIVE,0515    0863,Ward 6,20001,temp_32,304766,12,398411.73,137213.99,,,,,,{9C193992-ED30-4E69-9EE1-D5BE89C10738}
-77.0413651522916,38.9010982095508,SOCIAL DEAL SPOT,1776 I STREET NW,RETIRE,0127    0053,Ward 2,20006,temp_3,218481,13,396412.080499999,137027.16,,,,,,{B9256F1A-0ECB-480D-8E2D-DDDBE1B7D615}
-77.0457780877492,38.9003628326707,THE SHOPS AT 2000 PENN,2000 PENNSYLVANIA AVENUE NW,ACTIVE,0101    0058,Ward 2,20006,temp_10,243283,14,396029.250500001,136945.710000001,,,,,,{38450528-3EB2-4AFE-973F-1C959DCD9BD4}
-76.9811021737134,38.900358023118,HECHINGER MALL,1600 BENNING ROAD NE,ACTIVE,4493    0001,Ward 5,20002,temp_26,297796,15,401639.46,136944.35,,,,,,{AA3CDA20-B249-4348-9B66-4B78714DCBE1}
-77.0257278577727,38.9001678125147,CITY CENTER DC,812 7TH STREET NW,ACTIVE,0374    0888,Ward 2,20001,temp_30,307520,16,397768.47,136923.38,,,,,,{5490CDE4-F6FA-4D34-ADFD-CF5E0D82B336}
-76.9936995108956,38.8998363200542,H STREET CONNECTION SHOPPING CENTER,801 H STREET NE,ACTIVE,0912    0055,Ward 6,20002,temp_18,303867,17,400546.727499999,136886.285999998,,,,,,{3DF6019B-9459-4BFC-96C0-721B55800B9A}
-77.0208356661178,38.8995555884446,GALLERY PLACE SHOPPING CENTER,616 H STREET NW,ACTIVE,0455    0842,Ward 2,20001,temp_5,295093,18,398192.820500001,136855.309999999,,,,,,{0F4432E0-6F2F-4010-BEEA-6DE711E594F6}
-77.0543911529807,38.8988282948549,WATER GATE SHOPPING CENTER,2500 VIRGINIA AVE NW,ACTIVE,0008    0806,Ward 2,20037,temp_29,303866,19,395282.022500001,136775.774,,,,,,{A6903E02-E4C5-496A-B4DC-5CA0B48B3CCC}
-77.0061814024917,38.8975462563335,SHOPS AT UNION STATION,50 MASSACHUSETTS AVENUE NE,ACTIVE,0720    0171,Ward 6,20002,temp_12,293243,20,399463.980499998,136632.07,,,,,,{3786D54D-586F-4138-8D9B-74210C071DCF}
-77.0275851007799,38.89674024701,INTERNATIONAL COUNCIL SHOPPING CENTER,555 12TH STREET NW,ACTIVE,0321    0027,Ward 2,20004,temp_13,239135,21,397607.250500001,136542.940000001,,,,,,{1813F05A-6F1A-41BB-9F21-E97093A42DD5}
-77.0510690120925,38.8967194317227,MARKET AT COLUMBIA PLAZA,506 23RD STREET NW,ACTIVE,0033    0087,Ward 2,20037,temp_20,303863,22,395570.071500003,136541.506999999,,,,,,{FA3B754D-FB08-409E-9D2D-7B4BD4093695}
-77.0313740965379,38.8963751726068,SHOPS AT NATIONAL PLACE,1331 PENNSYLVANIA AVENUE NW,ACTIVE,0254    0838,Ward 2,20004,temp_8,279081,23,397278.549500003,136502.52,,,,,,{CCDD7F0E-F168-4EE7-A4A9-0B3652F18EE9}
-76.9491692010476,38.8947565508595,EAST RIVER PARK SHOPPING CENTER,3939 MINNESOTA AVE NE,ACTIVE,5051N   0015,Ward 7,20019,temp_1,288047,24,404409.780500002,136323.600000001,,,,,,{DC76C520-9D9B-4C88-8FC5-E48FC2559AE6}
-76.9367265001149,38.8892440146339,BENCO SHOPPING CENTER,4520 BENNING ROAD SE,ACTIVE,5346    0011,Ward 7,20019,temp_24,303875,25,405489.611500002,135712.34,,,,,,{FF03897A-5C4F-4A65-B7FC-61FFC16697C5}
-76.9964545626539,38.8867614521728,EASTERN MARKET,225 7TH STREET SE,RETIRE,0872    0800,Ward 6,20003,temp_16,294388,26,400307.799500003,135434.859999999,,,,,,{F46D3EFB-D683-4C77-9091-461071E4C398}
